ชื่อย่อ,ชื่อเต็ม
AGRI,Agricultural and Biological Sciences
ARTS,Arts and Humanities
BIOC,"Biochemistry, Genetics and Molecular Biology"
BUSI,"Business, Management and Accounting"
CENG,Chemical Engineering
CHEM,Chemistry
COMP,Computer Science
DECI,Decision Sciences
DENT,Dentistry
EART,Earth and Planetary Sciences
ECON,"Economics, Econometrics and Finance"
ENER,Energy
ENVI,Environmental Science
ENGI,Engineering
HEAL,Health Professions
IMMU,Immunology and Microbiology
MATH,Mathematics
MEDI,Medicine
MATE,Materials Science
NEUR,Neuroscience
NURS,Nursing
PHAR,"Pharmacology, Toxicology and Pharmaceutics"
PHYS,Physics and Astronomy
PSYC,Psychology
VETE,Veterinary
